PartNum,TotalSpend,CumSpend,CumSpend_Pct,ABC,XYZ,ABCXYZ
6319202-1,336954.08,33758194.58994999,28.016002203187558,A,Y,AY
6705015,325414.98,34083609.569949985,28.28606483264299,A,Y,AY
6415133,321320.0,34404929.569949985,28.552729028915152,A,Z,AZ
6319066-3,320569.43,34725498.999949984,28.818770325443143,A,Y,AY
6303350,318882.913872,35044381.91382199,29.08341197841402,A,X,AX
6321035-A,317421.52,35361803.43382199,29.346840817298276,A,X,AX
6603978,316316.0,35678119.43382199,29.609352182628868,A,Y,AY
6310230-8,304364.466,35982483.89982199,29.861944942804687,A,X,AX
Q583622-12,304318.15,36286802.04982199,30.114499265227135,A,Z,AZ
3182260,295950.87,36582752.919821985,30.360109563013125,A,Y,AY
Q551252-20,290677.57,36873430.489821985,30.601343537177183,A,Y,AY
6602601,290139.78,37163570.26982199,30.842131198201344,A,X,AX
Q744110031-4,288758.626,37452328.89582199,31.081772636390514,A,X,AX
Q583621-18,288112.63,37740441.52582199,31.32087796103513,A,Y,AY
6310230-3A,283828.714,38024270.23982199,31.55642805408185,A,X,AX
5016141,283134.4,38307404.63982199,31.791401934366302,A,Y,AY
6310306-1,282110.3139,38589514.95372199,32.025525923275275,A,X,AX
6605263,278281.0,38867795.95372199,32.25647195589949,A,Y,AY
6602602,275041.74,39142837.693721995,32.48472971930792,A,X,AX
6604620-01,272326.56,39415164.253722,32.710734148680395,A,X,AX
6800007,269982.934,39685147.187722,32.93479359752364,A,X,AX
6705124,263468.7,39948615.887722,33.15344686880576,A,X,AX
Q741110062-4,258209.48,40206825.367722,33.36773550148985,A,Y,AY
6309348,250057.70799999998,40456883.075721994,33.57525896011514,A,Y,AY
3160655,246041.98,40702925.05572199,33.77944975697157,A,Y,AY
6500508,241662.0,40944587.05572199,33.980005598498785,A,X,AX
6604727,227227.0,41171814.05572199,34.16858180080905,A,X,AX
6602230,225062.1,41396876.15572199,34.35536134770257,A,Z,AZ
6603219,222970.55,41619846.70572199,34.540405112510584,A,Y,AY
7420244,221963.7,41841810.40572199,34.724613290221576,A,Y,AY
6602901,219012.599,42060823.00472199,34.90637234252398,A,Y,AY
Q744110031-2,218582.503,42279405.50772199,35.08777445718118,A,Y,AY
6319107-1,216739.97,42496145.47772199,35.26764744952558,A,Y,AY
6705018,211470.44,42707615.91772199,35.443147246979585,A,Y,AY
6454044-03,210927.04,42918542.957721986,35.61819607554197,A,X,AX
TRK9237,206800.25,43125343.207721986,35.789820071729984,A,Z,AZ
20000117,206370.24,43331713.44772199,35.961087201644375,A,Y,AY
6322150,206144.55,43537857.997721985,36.13216703091624,A,Z,AZ
6602720,205296.0,43743153.997721985,36.30254264661987,A,Y,AY
Q744110082-3,201339.793,43944493.79072198,36.46963499716745,A,X,AX
6500498,201145.75,44145639.54072198,36.63656631098953,A,Y,AY
3371146,200118.05,44345757.59072198,36.80264473425232,A,Y,AY
Q741110062-6,199870.99,44545628.58072198,36.96851812186116,A,X,AX
6453092,197274.35,44742902.93072198,37.13223655204871,A,X,AX
6605221,196886.69,44939789.62072198,37.295633262323626,A,Y,AY
6310092-14,194504.62,45134294.24072198,37.457053087306576,A,Y,AY
6453639,193934.04116999998,45328228.28189198,37.6179993876253,A,Y,AY
3371037,192843.52000000002,45521071.80189198,37.77804066195336,A,X,AX
6605290,191512.9881,45712584.78999198,37.93697772484197,A,X,AX
6310230-2A,188579.048,45901163.83799198,38.0934799041918,A,Y,AY
TRK9262,185315.0,46086478.83799198,38.24727324270847,A,Z,AZ
3370323,182603.05,46269081.88799198,38.39881592777349,A,Y,AY
Q491650-18,181817.46,46450899.34799198,38.549706649916985,A,Y,AY
6435519,181698.0,46632597.34799198,38.70049823193572,A,X,AX
Q744110066-1,174754.638,46807351.98599198,38.84552750209351,A,X,AX
6453343,174593.1,46981945.08599198,38.99042271149898,A,Y,AY
3143593,174203.93,47156149.01599198,39.13499494783939,A,X,AX
6322004,173281.6,47329430.61599198,39.278801740422345,A,Y,AY
6309362,173153.99,47502584.60599198,39.42250262917707,A,X,AX
6453933,172756.0,47675340.60599198,39.56587322512875,A,Y,AY
6603525,167576.34,47842916.945991985,39.704945209506725,A,Y,AY
6603024,165735.0,48008651.945991985,39.842489061645296,A,X,AX
