PartNum,StdDailyDemand,MeanDailyDemand,stddev_method,TransactionDays,LeadTimeDays,lead_time_source,ABC,safety_stock
0112877,0.0,0.036555645816409424,estimated,1,33.0,actual,C,0
0114628,0.0,0.08123476848090982,estimated,1,43.0,actual,C,0
0114640,5.0,0.06498781478472786,estimated,2,33.0,actual,C,37
0117828,75.0,0.6498781478472786,estimated,4,14.0,actual,C,360
0118539,6.25,0.11372867587327376,estimated,4,45.0,actual,C,54
0118750,15.904997512206691,2.042242079610073,empirical,25,10.0,actual,C,65
0118755,24.78299828955821,2.619008935824533,empirical,17,33.0,actual,B,234
0119096,0.0,0.004061738424045491,estimated,1,45.0,actual,C,0
0119290,0.0,0.004061738424045491,estimated,1,0.0,actual,C,0
0119920,0.0,0.08123476848090982,estimated,1,30.0,actual,C,0
0120128,1.0,0.012997562956945572,estimated,2,30.0,actual,C,8
0120228,0.0,0.016246953696181964,estimated,1,0.0,actual,C,0
0120233,25.0,0.2437043054427295,estimated,2,0.0,actual,C,0
0120254,0.0,0.003249390739236393,estimated,1,21.0,actual,C,0
0120280,5.0,0.048740861088545896,estimated,2,30.0,actual,C,36
0120375,0.0,0.08123476848090982,estimated,1,5.0,actual,C,0
0120375-CR,31.103725906040964,3.1925264012997565,empirical,14,5.0,actual,C,90
0120377,0.0,0.08123476848090982,estimated,1,5.0,actual,C,0
0120377-CR,0.0,0.016246953696181964,estimated,1,30.0,actual,C,0
0120382,0.0,0.08123476848090982,estimated,1,30.0,actual,C,0
0120388,0.0,0.16246953696181965,estimated,1,0.0,actual,C,0
0120390,0.0,0.16246953696181965,estimated,1,30.0,actual,C,0
0120499,7.2087204302423,0.49959382615759546,empirical,9,30.0,actual,C,51
012056,0.0,0.003249390739236393,estimated,1,21.0,actual,C,0
0120583,25.0,0.4061738424045491,estimated,2,5.0,actual,C,72
0120704,0.8619206158337211,0.05117790414297319,empirical,5,33.0,actual,C,7
0120706,0.0,0.04061738424045491,estimated,1,0.0,actual,C,0
0121208,0.0,0.2437043054427295,estimated,1,30.0,actual,C,0
0121758,7.5,0.05686433793663688,estimated,2,30.0,actual,C,53
0121973,0.0,0.08123476848090982,estimated,1,30.0,actual,C,0
0122119,20.0,0.09748172217709179,estimated,2,0.0,actual,C,0
0122126,2.5,0.05686433793663688,estimated,2,5.0,actual,C,8
0122394,0.0,0.016246953696181964,estimated,2,30.0,actual,C,0
0124847,0.0,0.08123476848090982,estimated,1,45.0,actual,C,0
0126032,0.0,0.08123476848090982,estimated,1,5.0,actual,C,0
0126103,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0126168,0.0,0.004061738424045491,estimated,1,45.0,actual,C,0
0127796,0.0,0.08123476848090982,estimated,1,5.0,actual,C,0
0127963,11.305198562887213,1.5727051177904143,empirical,29,30.0,actual,C,80
0129881,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
013026RR,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
013026RT,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0130999-CR,14.217449842018185,1.0560519902518277,empirical,8,5.0,actual,C,41
0131044-CR,0.0,0.16246953696181965,estimated,1,30.0,actual,C,0
0131577,0.0,0.048740861088545896,estimated,3,5.0,actual,C,0
0135801,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0136038,0.0,0.00974817221770918,estimated,1,21.0,actual,C,0
0136040,4.5,0.03411860276198213,estimated,2,21.0,actual,C,27
0136041,0.0,0.00974817221770918,estimated,1,21.0,actual,C,0
0136489,75.0,0.6498781478472786,estimated,3,3.0,actual,C,167
0137156,7.5,0.04061738424045491,estimated,2,5.0,actual,C,22
0137157,24.0,0.10073111291632819,estimated,3,21.0,actual,C,141
01374253,0.0,0.012185215272136474,estimated,1,21.0,actual,C,0
0137971,0.0,0.008123476848090982,estimated,1,45.0,actual,C,0
0138561,0.0,0.08123476848090982,estimated,1,30.0,actual,C,0
0139420,0.0,0.08123476848090982,estimated,1,30.0,actual,C,0
0140807,3.9603584748027076,0.2420796100731113,empirical,6,45.0,actual,C,35
0142017,0.0,0.04061738424045491,estimated,1,15.0,actual,C,0
0142155,25.0,0.22339561332250202,estimated,3,5.0,actual,C,72
0142393,0.0,3.249390739236393,estimated,1,21.0,actual,C,0
0142394,306.5767238028434,17.871649065800163,empirical,5,21.0,actual,C,1799
0142772,0.0,0.016246953696181964,estimated,1,21.0,actual,C,0
0142834,0.0,0.004061738424045491,estimated,1,0.0,actual,C,0
0144066,10.0,0.048740861088545896,estimated,2,30.0,actual,C,71
0144069,0.0,0.016246953696181964,estimated,2,30.0,actual,C,0
0144129,22.5,0.21121039805036557,estimated,4,30.0,actual,C,158
0144215,20.0,0.17871649065800163,estimated,2,30.0,actual,C,141
0144523,0.0,0.020308692120227456,estimated,1,21.0,actual,C,0
0145815002,0.0,0.00487408610885459,estimated,1,21.0,actual,C,0
0146152,0.25,0.010560519902518278,estimated,3,21.0,actual,C,2
0150217,0.0,0.008123476848090982,estimated,1,21.0,actual,C,0
0150225,0.0,0.04061738424045491,estimated,1,21.0,actual,C,0
0150228,0.0,0.008123476848090982,estimated,1,21.0,actual,C,0
0150653,0.0,0.00487408610885459,estimated,1,21.0,actual,C,0
0150863,0.0,0.003249390739236393,estimated,1,21.0,actual,C,0
0150875,0.0,0.008123476848090982,estimated,1,21.0,actual,C,0
0150876,1.0,0.01949634443541836,estimated,3,21.0,actual,C,6
0150966,0.0,0.008123476848090982,estimated,1,21.0,actual,C,0
0153148880,0.0,0.0016246953696181965,estimated,1,21.0,actual,C,0
0154465881,0.0,0.0016246953696181965,estimated,1,21.0,actual,B,0
0156449001,0.0,0.0016246953696181965,estimated,1,21.0,actual,C,0
0158559,2.5,0.024370430544272948,estimated,2,21.0,actual,C,15
015975,0.75,0.004061738424045491,estimated,2,21.0,actual,C,5
0161812,0.0,0.16246953696181965,estimated,1,21.0,actual,C,0
01705696,0.0,0.0016246953696181965,estimated,1,21.0,actual,C,0
0171503,0.0,0.0016246953696181965,estimated,1,21.0,actual,C,0
017398808040,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
017894404,0.0,0.004061738424045491,estimated,1,21.0,actual,C,0
0179097,10.0,0.13809910641754672,estimated,4,30.0,actual,C,71
0179402,1.25,0.010560519902518278,estimated,4,30.0,actual,C,9
0179892,0.0,0.008123476848090982,estimated,1,5.0,actual,C,0
0180018,50.04102983919035,2.843216896831844,empirical,6,3.0,actual,C,111
0180021-CR,0.0,0.08123476848090982,estimated,1,0.0,actual,C,0
0180079-CR,0.0,0.08123476848090982,estimated,1,30.0,actual,C,0
0180080,0.0,0.016246953696181964,estimated,2,5.0,actual,C,0
0180120-CR,0.0,0.016246953696181964,estimated,1,5.0,actual,C,0
0180121-CR,1.0,0.03574329813160033,estimated,2,0.0,actual,C,0
0180126-CR,37.5,0.3655564581640942,estimated,3,30.0,actual,C,263
0180128-CR,0.0,0.16246953696181965,estimated,1,30.0,actual,C,0
0180132-CR,0.0,0.08123476848090982,estimated,1,30.0,actual,C,0
0180137-CR,0.0,0.04061738424045491,estimated,1,5.0,actual,C,0
0180143,0.0,0.16246953696181965,estimated,1,45.0,actual,C,0
0180175-CR,0.0,0.008123476848090982,estimated,1,30.0,actual,C,0
0180179-CR,1.0,0.022745735174654752,estimated,2,30.0,actual,C,8
0180190-CR,10.0,0.09748172217709179,estimated,4,5.0,actual,C,29
0181603,0.0,0.0016246953696181965,estimated,1,21.0,actual,C,0
0181700,0.0,0.008123476848090982,estimated,1,0.0,actual,C,0
0186725,39.227177309929516,2.4370430544272947,empirical,7,5.0,actual,C,113
0187394,0.0,0.008123476848090982,estimated,1,30.0,actual,C,0
0187399,13.318521142463817,1.5735174654752233,empirical,19,45.0,actual,B,147
0187406,0.75,0.005686433793663688,estimated,3,45.0,actual,C,7
0189103,5.8341411434917445,0.5402112103980503,empirical,13,30.0,actual,C,41
0189304,5.0,0.048740861088545896,estimated,2,45.0,actual,C,43
0189347,0.0,0.008123476848090982,estimated,1,5.0,actual,C,0
0189777,0.0,0.008123476848090982,estimated,2,45.0,actual,C,0
0191163-CR,37.5,0.5280259951259139,estimated,4,30.0,actual,C,263
