PartNum,annual_demand,avg_unit_cost,holding_cost_per_unit,eoq,orders_per_year,avg_cycle_stock,total_annual_cost,ordering_cost_assumption,holding_cost_rate
079974,7300.0,1.19,0.2975,1566.46,4.66,783.23,466.01,50,0.25
08-B  717,7300.0,9.79,2.4475,546.14,13.37,273.07,1336.84,50,0.25
0803867,28.74,10.090499999999999,2.5226,33.75,0.85,16.88,85.08,50,0.25
0803915,1460.0,42.83,10.7075,116.77,12.5,58.38,1250.1,50,0.25
0803927,730.0,66.31,16.5775,66.36,11.0,33.18,1100.04,50,0.25
0803933,6570.0,269.46,67.365,98.76,66.52,49.38,6652.48,50,0.25
0803947,1460.0,15.42,3.855,194.61,7.5,97.3,750.09,50,0.25
0803949,13140.0,5.53,1.3825,974.91,13.48,487.46,1347.91,50,0.25
0803957,471.27,5.95,1.4875,177.99,2.65,89.0,264.89,50,0.25
0803958,6570.0,127.08,31.77,143.81,45.69,71.9,4568.76,50,0.25
08042351,365.0,1283.36,320.84,10.67,34.21,5.34,3423.79,50,0.25
0804425,57.75,4.184,1.046,74.3,0.78,37.15,77.86,50,0.25
080SKA,11.49,78.2,19.55,7.67,1.5,3.84,150.07,50,0.25
0812294,1095.0,11.46,2.865,195.5,5.6,97.75,560.05,50,0.25
0815050- #753,4380.0,1.146,0.2865,1236.44,3.54,618.22,354.12,50,0.25
0815363,46.09,11.323,2.8308,40.35,1.14,20.18,114.13,50,0.25
0815364,10950.0,1.1541,0.2885,1948.2,5.62,974.1,562.03,50,0.25
0816577,3650.0,5.2441,1.311,527.65,6.92,263.82,691.87,50,0.25
0816578,69.52,4.2819,1.0705,80.59,0.86,40.3,86.14,50,0.25
0817719,14.72,6.08125,1.5203,31.12,0.47,15.56,47.16,50,0.25
0817820,1095.0,21.917,5.4793,141.37,7.75,70.68,774.78,50,0.25
0817924,1825.0,3.078,0.7695,487.0,3.75,243.5,374.87,50,0.25
0817926,8.93,3.417,0.8542,32.33,0.28,16.16,27.8,50,0.25
0817928,1825.0,3.078,0.7695,487.0,3.75,243.5,374.87,50,0.25
0820407,14600.0,14.952,3.738,624.97,23.36,312.48,2336.05,50,0.25
0827774,69.52,44.73,11.1825,24.93,2.79,12.46,278.83,50,0.25
0829119,63.53,2.2266666666666666,0.5567,106.83,0.59,53.42,59.24,50,0.25
083024RSRS,365.0,2369.99,592.4975,7.85,46.5,3.92,4647.59,50,0.25
083343,49.77,4032.67,1008.1675,2.22,22.42,1.11,2240.07,50,0.25
0847948,365.0,151.25,37.8125,31.07,11.75,15.54,1175.11,50,0.25
0852582,4380.0,13.464,3.366,360.73,12.14,180.36,1214.09,50,0.25
0852588,365.0,60.78,15.195,49.01,7.45,24.5,744.78,50,0.25
