PartNum,annual_demand,avg_unit_cost,holding_cost_per_unit,eoq,orders_per_year,avg_cycle_stock,total_annual_cost,ordering_cost_assumption,holding_cost_rate
2133128,365.0,206.99,51.7475,26.56,13.74,13.28,1374.21,50,0.25
21350220,365.0,220.0,55.0,25.76,14.17,12.88,1416.9,50,0.25
2137744,365.0,105.68,26.42,37.17,9.82,18.58,981.88,50,0.25
2139965,10950.0,0.26,0.065,4104.41,2.67,2052.2,266.89,50,0.25
2140080,4.35,229.32,57.33,2.75,1.58,1.38,158.12,50,0.25
2141856,14.31,28.03125,7.0078,14.29,1.0,7.14,100.04,50,0.25
2141871,2920.0,10.52,2.63,333.21,8.76,166.6,876.16,50,0.25
2142084,365.0,189.852,47.463,27.73,13.16,13.86,1315.84,50,0.25
2142814,7.27,33.414,8.3535,9.33,0.78,4.66,77.93,50,0.25
2142840,730.0,313.038,78.2595,30.54,23.9,15.27,2390.02,50,0.25
2144418,1095.0,5.69,1.4225,277.45,3.95,138.72,394.83,50,0.25
2144518,365.0,15.99,3.9975,95.55,3.82,47.78,382.0,50,0.25
2144587,1095.0,4.69,1.1725,305.6,3.58,152.8,358.16,50,0.25
214CS,365.0,67.32,16.83,46.57,7.84,23.28,783.8,50,0.25
214CS-2XL,365.0,86.43,21.6075,41.1,8.88,20.55,888.03,50,0.25
214CSXL,365.0,83.06,20.765,41.93,8.7,20.96,870.23,50,0.25
2150024,42.94,27.19666666666667,6.7992,25.13,1.71,12.56,170.9,50,0.25
2150415,1095.0,28.872,7.218,123.17,8.89,61.58,888.98,50,0.25
2150416,8.61,48.2335,12.0584,8.45,1.02,4.22,101.89,50,0.25
2150461,730.0,41.5,10.375,83.88,8.7,41.94,870.13,50,0.25
2150496,1825.0,11.508,2.877,251.86,7.25,125.93,724.8,50,0.25
2150512,1095.0,27.35,6.8375,126.55,8.65,63.28,865.18,50,0.25
2150514,1095.0,40.85,10.2125,103.55,10.57,51.78,1057.3,50,0.25
2150531,64.04,71.05,17.7625,18.99,3.37,9.49,337.07,50,0.25
2150561,1095.0,42.3,10.575,101.76,10.76,50.88,1076.06,50,0.25
2150595,1460.0,10.3255,2.5814,237.82,6.14,118.91,613.95,50,0.25
2150596,7.56,14.952333333333334,3.7381,14.22,0.53,7.11,53.08,50,0.25
2150597,1460.0,17.644,4.411,181.93,8.03,90.96,802.72,50,0.25
2150599,1460.0,11.773,2.9432,222.72,6.56,111.36,655.75,50,0.25
2150600,1460.0,10.25,2.5625,238.7,6.12,119.35,611.83,50,0.25
2150601,1460.0,17.989,4.4972,180.18,8.1,90.09,810.15,50,0.25
2150602,3.37,14.298,3.5745,9.71,0.35,4.86,34.87,50,0.25
2150610,7300.0,11.892,2.973,495.52,14.73,247.76,1473.09,50,0.25
2150612,1095.0,21.522,5.3805,142.66,7.68,71.33,767.79,50,0.25
2150615,7300.0,27.657,6.9142,324.93,22.47,162.46,2246.78,50,0.25
2150653,1095.0,90.19,22.5475,69.69,15.71,34.84,1571.05,50,0.25
2150987,3650.0,0.6199,0.155,1534.55,2.38,767.28,237.93,50,0.25
2150997,1825.0,8.994,2.2485,284.9,6.41,142.45,640.8,50,0.25
2150999,1095.0,7.926,1.9815,235.08,4.66,117.54,465.91,50,0.25
2151000,730.0,9.39,2.3475,176.34,4.14,88.17,413.98,50,0.25
2151001,730.0,10.115,2.5288,169.9,4.3,84.95,429.82,50,0.25
2151003,53.92,10.938,2.7345,44.41,1.21,22.2,121.21,50,0.25
2151004,730.0,14.882,3.7205,140.08,5.21,70.04,521.08,50,0.25
2151005,730.0,17.962,4.4905,127.5,5.73,63.75,572.77,50,0.25
2151008,730.0,7.833,1.9582,193.08,3.78,96.54,378.04,50,0.25
2151009,1095.0,7.572,1.893,240.51,4.55,120.26,455.15,50,0.25
2151010,10.98,8.4765,2.1191,22.76,0.48,11.38,48.12,50,0.25
2151023,5475.0,13.554,3.3885,401.97,13.62,200.98,1362.02,50,0.25
2151027,5475.0,13.578,3.3945,401.61,13.63,200.8,1363.12,50,0.25
2151276,1825.0,14.34,3.585,225.62,8.09,112.81,808.92,50,0.25
2151371,14.82,12.530000000000001,3.1325,21.75,0.68,10.88,68.08,50,0.25
2151372,13.39,14.881,3.7202,18.97,0.71,9.48,70.77,50,0.25
2151373,7.53,14.992,3.748,14.17,0.53,7.08,53.04,50,0.25
2151374,1825.0,11.84,2.96,248.31,7.35,124.16,735.01,50,0.25
2151375,1825.0,11.84,2.96,248.31,7.35,124.16,735.01,50,0.25
2151377,1095.0,20.514,5.1285,146.12,7.49,73.06,749.19,50,0.25
2151378,1095.0,21.024,5.256,144.34,7.59,72.17,758.83,50,0.25
2151379,1825.0,9.3,2.325,280.17,6.51,140.08,651.19,50,0.25
2151528,1095.0,30.128,7.532,120.57,9.08,60.28,908.03,50,0.25
2151529,1095.0,39.522,9.8805,105.27,10.4,52.64,1040.11,50,0.25
21522,365.0,6.17,1.5425,153.83,2.37,76.92,237.15,50,0.25
2152950,1460.0,9.331,2.3328,250.17,5.84,125.08,583.79,50,0.25
2152974,121.67,7.731,1.9328,79.34,1.53,39.67,153.17,50,0.25
2152978,1095.0,7.158,1.7895,247.37,4.43,123.68,442.83,50,0.25
2153073,1095.0,9.653,2.4132,213.02,5.14,106.51,514.03,50,0.25
2153086,2190.0,12.05,3.0125,269.62,8.12,134.81,812.12,50,0.25
2153088,3650.0,11.05,2.7625,363.49,10.04,181.74,1004.06,50,0.25
2153089,3650.0,14.21,3.5525,320.54,11.39,160.27,1138.86,50,0.25
2153111,1095.0,15.726,3.9315,166.89,6.56,83.44,656.04,50,0.25
2153175,730.0,31.283,7.8208,96.61,7.56,48.3,755.74,50,0.25
2153256,1825.0,9.75,2.4375,273.63,6.67,136.82,667.0,50,0.25
2153278,973.33,12.668500000000002,3.1671,175.31,5.55,87.66,555.13,50,0.25
2153312,730.0,23.36,5.84,111.8,6.53,55.9,652.96,50,0.25
2153344,17.6,35.298,8.8245,14.12,1.25,7.06,124.8,50,0.25
2153387,1095.0,37.248,9.312,108.44,10.1,54.22,1009.9,50,0.25
2153391,1095.0,38.208,9.552,107.07,10.23,53.54,1022.91,50,0.25
2153905,365.0,59.04,14.76,49.73,7.34,24.86,733.93,50,0.25
2153916,1095.0,96.24,24.06,67.46,16.23,33.73,1623.04,50,0.25
2154494,1095.0,15.114,3.7785,170.23,6.43,85.12,643.13,50,0.25
2154503,1095.0,17.022,4.2555,160.41,6.83,80.2,682.79,50,0.25
2154510,1095.0,13.536,3.384,179.88,6.09,89.94,608.86,50,0.25
2154520,2190.0,15.47,3.8675,237.96,9.2,118.98,920.16,50,0.25
2154537,2190.0,16.114,4.0285,233.16,9.39,116.58,939.14,50,0.25
2154553,3650.0,17.184,4.296,291.48,12.52,145.74,1252.1,50,0.25
2154559,1095.0,14.904,3.726,171.43,6.39,85.72,638.89,50,0.25
2154566,3650.0,19.59,4.8975,273.0,13.37,136.5,1337.01,50,0.25
2154584,7.6,18.110333333333333,4.5276,12.96,0.59,6.48,58.84,50,0.25
2154593,1095.0,19.59,4.8975,149.53,7.32,74.76,732.14,50,0.25
2154606,1825.0,18.88,4.72,196.63,9.28,98.32,928.07,50,0.25
2154615,2190.0,23.74,5.935,192.09,11.4,96.04,1140.0,50,0.25
2154628,730.0,23.364,5.841,111.79,6.53,55.9,653.01,50,0.25
2154637,1095.0,28.764,7.191,123.4,8.87,61.7,887.18,50,0.25
2154650,730.0,31.368,7.842,96.48,7.57,48.24,756.8,50,0.25
2154708,730.0,28.83,7.2075,100.64,7.25,50.32,725.18,50,0.25
2154748,1460.0,53.334,13.3335,104.64,13.95,52.32,1395.11,50,0.25
2154750,730.0,76.968,19.242,61.59,11.85,30.8,1185.15,50,0.25
2154758,1095.0,62.07,15.5175,84.0,13.04,42.0,1303.74,50,0.25
2154769,2920.0,117.884,29.471,99.54,29.33,49.77,2933.27,50,0.25
2154772,730.0,125.93,31.4825,48.15,15.16,24.08,1516.1,50,0.25
2154985,730.0,24.894,6.2235,108.3,6.74,54.15,674.0,50,0.25
2154991,730.0,26.0065,6.5016,105.96,6.89,52.98,688.95,50,0.25
215510,2190.0,35.636,8.909,156.79,13.97,78.4,1396.97,50,0.25
2155272,1825.0,20.09,5.0225,190.62,9.57,95.31,957.19,50,0.25
2155395,1095.0,16.182,4.0455,164.52,6.66,82.26,665.78,50,0.25
2155399,1095.0,16.878,4.2195,161.09,6.8,80.54,679.84,50,0.25
2155401,3650.0,17.22,4.305,291.18,12.54,145.59,1253.76,50,0.25
2155408,11.17,23.2255,5.8064,13.87,0.81,6.94,80.8,50,0.25
2155410,1095.0,25.734,6.4335,130.46,8.39,65.23,839.16,50,0.25
2155412,12.98,26.078666666666667,6.5197,14.11,0.92,7.06,92.03,50,0.25
2155414,1095.0,29.052,7.263,122.79,8.92,61.4,891.95,50,0.25
2155416,1460.0,36.906,9.2265,125.79,11.61,62.9,1160.85,50,0.25
2155418,730.0,42.156,10.539,83.23,8.77,41.62,877.13,50,0.25
2155488,3650.0,24.01,6.0025,246.59,14.8,123.3,1480.11,50,0.25
2155513,1095.0,56.37,14.0925,88.15,12.42,44.08,1242.2,50,0.25
2155538,1460.0,18.102,4.5255,179.62,8.13,89.81,812.94,50,0.25
2155597,365.0,1081.602,270.4005,11.62,31.41,5.81,3141.53,50,0.25
215885-BC,6.59,1224.5171428571427,306.1293,1.47,4.48,0.74,450.54,50,0.25
2158K82,365.0,187.26,46.815,27.92,13.07,13.96,1307.04,50,0.25
2161440,1825.0,48.38,12.095,122.84,14.86,61.42,1485.87,50,0.25
2161706,84.23,14.712,3.678,47.86,1.76,23.93,176.01,50,0.25
2161707,1825.0,19.122,4.7805,195.39,9.34,97.7,934.05,50,0.25
2161915,1825.0,76.236,19.059,97.85,18.65,48.92,1864.87,50,0.25
2161956,10.63,133.79240000000001,33.4481,5.64,1.88,2.82,188.32,50,0.25
2161959,3650.0,158.6524,39.6631,95.93,38.05,47.96,3804.74,50,0.25
2162072,11.41,262.2375,65.5594,4.17,2.74,2.08,273.36,50,0.25
2163053,730.0,21.04,5.26,117.81,6.2,58.9,619.81,50,0.25
2163092,5475.0,3.402,0.8505,802.33,6.82,401.16,682.19,50,0.25
2164547,730.0,153.335,38.3338,43.64,16.73,21.82,1672.94,50,0.25
2165910,1825.0,29.568,7.392,157.13,11.61,78.56,1161.22,50,0.25
216607,7.36,90.27,22.5675,5.71,1.29,2.86,129.04,50,0.25
216827,7.45,19.36,4.84,12.41,0.6,6.2,60.01,50,0.25
216828,81.11,11.3,2.825,53.58,1.51,26.79,151.18,50,0.25
216829,219.0,11.3,2.825,88.05,2.49,44.02,248.86,50,0.25
216830,1825.0,23.13,5.7825,177.65,10.27,88.82,1027.1,50,0.25
2168365,365.0,54.99,13.7475,51.53,7.08,25.76,708.14,50,0.25
2168832,365.0,178.4,44.6,28.61,12.76,14.3,1275.78,50,0.25
217043,72.66,6.537777777777778,1.6344,66.68,1.09,33.34,108.99,50,0.25
2171670,365.0,234.83,58.7075,24.93,14.64,12.46,1463.5,50,0.25
2178862,730.0,62.83,15.7075,68.17,10.71,34.08,1070.81,50,0.25
217892,188.79,1091.2766666666666,272.8192,8.32,22.69,4.16,2269.43,50,0.25
2180143,1095.0,8.547,2.1368,226.37,4.84,113.18,483.84,50,0.25
2180676,9.65,135.136,33.784,5.34,1.81,2.67,180.7,50,0.25
2180785,40.35,21.0302,5.2576,27.7,1.46,13.85,145.82,50,0.25
2181563,9.52,108.15000000000002,27.0375,5.93,1.61,2.96,160.53,50,0.25
2181630,2.8,330.2366,82.5592,1.84,1.52,0.92,151.95,50,0.25
2181631,1095.0,252.21,63.0525,41.67,26.28,20.84,2628.01,50,0.25
2182486,365.0,27.33,6.8325,73.09,4.99,36.54,499.16,50,0.25
2182490,365.0,32.68,8.17,66.84,5.46,33.42,546.04,50,0.25
2182530,34.03,44.244,11.061,17.54,1.94,8.77,194.0,50,0.25
2185013,327.76,7.0,1.75,136.85,2.4,68.42,239.74,50,0.25
2190855,4380.0,64.617,16.1542,164.66,26.6,82.33,2659.98,50,0.25
219381,365.0,34.99,8.7475,64.6,5.65,32.3,565.04,50,0.25
2193830,730.0,218.058,54.5145,36.59,19.95,18.3,1995.12,50,0.25
2193903,365.0,215.44,53.86,26.03,14.02,13.02,1402.26,50,0.25
2193905,365.0,505.26,126.315,17.0,21.47,8.5,2147.18,50,0.25
2194687,41.89,88.34999999999998,22.0875,13.77,3.04,6.88,303.96,50,0.25
2195910,12.88,32.016,8.004,12.69,1.01,6.34,101.25,50,0.25
2199011,1095.0,340.0859,85.0215,35.89,30.51,17.94,3050.79,50,0.25
2199761,365.0,740.4,185.1,14.04,26.0,7.02,2599.4,50,0.25
21RK71,365.0,112.01,28.0025,36.1,10.11,18.05,1010.95,50,0.25
21RK73,365.0,112.01,28.0025,36.1,10.11,18.05,1010.95,50,0.25
21RK75,365.0,112.01,28.0025,36.1,10.11,18.05,1010.95,50,0.25
21UN61,365.0,40.79,10.1975,59.83,6.1,29.92,610.11,50,0.25
22-0052,1460.0,115.0,28.75,71.26,20.49,35.63,2048.86,50,0.25
220,5110.0,13.0,3.25,396.52,12.89,198.26,1288.84,50,0.25
220061,730.0,60.54,15.135,69.45,10.51,34.72,1050.99,50,0.25
22040,1460.0,36.0,9.0,127.37,11.46,63.68,1146.12,50,0.25
220404,730.0,21.13,5.2825,117.56,6.21,58.78,621.01,50,0.25
22041,1460.0,23.0,5.75,159.35,9.16,79.68,916.16,50,0.25
22064695,365.0,455.6,113.9,17.9,20.39,8.95,2038.9,50,0.25
220705,730.0,566.4,141.6,22.71,32.14,11.36,3215.58,50,0.25
220971,1825.0,15.79,3.9475,215.02,8.49,107.51,848.9,50,0.25
220975,1825.0,15.79,3.9475,215.02,8.49,107.51,848.9,50,0.25
220977,730.0,59.43,14.8575,70.1,10.41,35.05,1041.26,50,0.25
220997,365.0,34.36,8.59,65.19,5.6,32.6,560.03,50,0.25
221-2401,1460.0,20.23,5.0575,169.91,8.59,84.96,859.19,50,0.25
221173,17.46,2330.7,582.675,1.73,10.09,0.86,1005.6,50,0.25
22166,8.3,261.5,65.375,3.56,2.33,1.78,232.87,50,0.25
2229490,3650.0,6.4478,1.612,475.84,7.67,237.92,767.03,50,0.25
2231997,365.0,2484.81,621.2025,7.67,47.59,3.84,4764.92,50,0.25
2232674,365.0,2609.72,652.43,7.48,48.8,3.74,4880.09,50,0.25
224-43469,365.0,65.69,16.4225,47.14,7.74,23.57,774.08,50,0.25
224401,10.31,249.48666666666668,62.3717,4.07,2.53,2.04,253.74,50,0.25
22463368,365.0,100.3,25.075,38.15,9.57,19.08,956.93,50,0.25
2261547,365.0,1450.0,362.5,10.03,36.39,5.01,3635.62,50,0.25
22625446,365.0,175.0,43.75,28.88,12.64,14.44,1263.75,50,0.25
2262810,730.0,28.35,7.0875,101.49,7.19,50.74,719.12,50,0.25
22648539,365.0,1870.85,467.7125,8.83,41.34,4.42,4134.29,50,0.25
22649,365.0,426.79,106.6975,18.5,19.73,9.25,1973.45,50,0.25
2269666,6570.0,4.9852,1.2463,726.06,9.05,363.03,904.94,50,0.25
227061,1825.0,111.24,27.81,81.01,22.53,40.51,2253.08,50,0.25
2272412,1095.0,16.99,4.2475,160.56,6.82,80.28,681.99,50,0.25
2273289,53.75,0.98,0.245,148.12,0.36,74.06,36.14,50,0.25
227403,12.14,88.18333333333334,22.0458,7.42,1.64,3.71,163.79,50,0.25
227404,1460.0,69.77,17.4425,91.49,15.96,45.74,1595.82,50,0.25
227434,1460.0,31.58,7.895,135.99,10.74,68.0,1073.86,50,0.25
227452,9.42,173.82,43.455,4.66,2.02,2.33,202.25,50,0.25
227608,15.87,44.285,11.0712,11.97,1.33,5.98,132.71,50,0.25
228036,2190.0,84.46,21.115,101.84,21.5,50.92,2150.18,50,0.25
22806889,1825.0,80.75,20.1875,95.08,19.19,47.54,1919.21,50,0.25
228069,365.0,1040.0,260.0,11.85,30.8,5.92,3079.2,50,0.25
228171,730.0,575.0,143.75,22.53,32.4,11.26,3238.62,50,0.25
228230,365.0,600.0,150.0,15.6,23.4,7.8,2340.0,50,0.25
22840971,365.0,85.35,21.3375,41.36,8.82,20.68,882.26,50,0.25
228696,10.5,544.9733333333332,136.2433,2.78,3.78,1.39,378.38,50,0.25
228791,365.0,1097.77,274.4425,11.53,31.66,5.76,3163.79,50,0.25
228806,365.0,332.93,83.2325,20.94,17.43,10.47,1742.94,50,0.25
228916,365.0,613.24,153.31,15.43,23.66,7.72,2366.55,50,0.25
228984,365.0,274.0,68.5,23.08,15.81,11.54,1580.99,50,0.25
229229,365.0,245.0,61.25,24.41,14.95,12.2,1494.75,50,0.25
2294254,730.0,4.99,1.2475,241.9,3.02,120.95,301.89,50,0.25
229456,730.0,168.29,42.0725,41.65,17.53,20.82,1752.45,50,0.25
2298336,273.75,1563.93,390.9825,8.37,32.71,4.18,3269.81,50,0.25
229892,1460.0,172.81,43.2025,58.13,25.12,29.06,2511.46,50,0.25
2299372,365.0,43.89,10.9725,57.68,6.33,28.84,632.95,50,0.25
22AG00016,730.0,415.0,103.75,26.53,27.52,13.26,2751.72,50,0.25
22AK1657,365.0,226.11,56.5275,25.41,14.36,12.7,1435.9,50,0.25
22B139A S/N 99012913,365.0,3071.4,767.85,6.89,52.98,3.44,5290.4,50,0.25
22D954,365.0,5884.0,1471.0,4.98,73.29,2.49,7327.29,50,0.25
22FR59,1825.0,6.17,1.5425,343.97,5.31,171.98,530.78,50,0.25
22RN55,1460.0,276.99,69.2475,45.92,31.79,22.96,3179.42,50,0.25
22S-10-30,365.0,26179.0,6544.75,2.36,154.66,1.18,15455.8,50,0.25
22x27 Instapak Quick,365.0,167.53,41.8825,29.52,12.36,14.76,1236.19,50,0.25
23-07693-001D,730.0,190.0,47.5,39.2,18.62,19.6,1862.0,50,0.25
23000210,730.0,57.0,14.25,71.57,10.2,35.78,1019.86,50,0.25
23000650,730.0,35.2,8.8,91.08,8.01,45.54,801.25,50,0.25
2302509,365.0,2100.0,525.0,8.34,43.76,4.17,4377.25,50,0.25
2305558,365.0,29.97,7.4925,69.8,5.23,34.9,522.99,50,0.25
23120,73000.0,0.222,0.0555,11468.72,6.37,5734.36,636.76,50,0.25
2313845,365.0,1637.33,409.3325,9.44,38.67,4.72,3865.55,50,0.25
2314328,1460.0,176.4,44.1,57.54,25.37,28.77,2537.26,50,0.25
231517,11.62,488.6325,122.1581,3.08,3.77,1.54,376.62,50,0.25
2315T98,730.0,77.562,19.3905,61.36,11.9,30.68,1189.9,50,0.25
23207,18250.0,0.07,0.0175,10212.04,1.79,5106.02,178.86,50,0.25
23210,18250.0,0.0967,0.0242,8684.08,2.1,4342.04,210.08,50,0.25
232483,60.83,908.32,227.08,5.18,11.74,2.59,1175.14,50,0.25
2326A14,365.0,510.45,127.6125,16.91,21.58,8.46,2158.6,50,0.25
232769006,8760.0,120.0,30.0,170.88,51.26,85.44,5126.2,50,0.25
2328144,730.0,17.78,4.445,128.15,5.7,64.08,569.84,50,0.25
2328146,730.0,44.88,11.22,80.66,9.05,40.33,905.0,50,0.25
233500,3.22,1289.5,322.375,1.0,3.22,0.5,322.19,50,0.25
23367,9125.0,0.67,0.1675,2334.04,3.91,1167.02,390.98,50,0.25
2336964,365.0,148.2,37.05,31.39,11.63,15.7,1163.18,50,0.25
2340510,2920.0,2.44,0.61,691.87,4.22,345.94,422.02,50,0.25
2340530,2190.0,3.87,0.9675,475.77,4.6,237.88,460.15,50,0.25
23413,18250.0,0.78,0.195,3059.24,5.97,1529.62,596.78,50,0.25
23424922,1460.0,449.65,112.4125,36.04,40.51,18.02,4051.17,50,0.25
23434848,365.0,802.4,200.6,13.49,27.06,6.74,2705.04,50,0.25
234782,7.81,691.2,172.8,2.13,3.67,1.06,366.67,50,0.25
23487457,730.0,328.95,82.2375,29.79,24.5,14.9,2450.34,50,0.25
23511,730.0,1.2131,0.3033,490.6,1.49,245.3,148.9,50,0.25
2352109,3650.0,27.44,6.86,230.67,15.82,115.34,1582.23,50,0.25
23564446,70.27,87.23125,21.8078,17.95,3.91,8.98,391.33,50,0.25
235673,5475.0,37.33,9.3325,242.21,22.6,121.1,2260.17,50,0.25
235674,195.01,3.477777777777778,0.8694,149.77,1.3,74.89,130.11,50,0.25
2358393,365.0,13.99,3.4975,102.16,3.57,51.08,357.15,50,0.25
2360420,1460.0,772.65,193.1625,27.49,53.11,13.74,5309.55,50,0.25
236332300071,365.0,332.99,83.2475,20.94,17.43,10.47,1743.1,50,0.25
23670UM010,730.0,968.49,242.1225,17.36,42.05,8.68,4204.12,50,0.25
236837,20.86,334.27,83.5675,5.0,4.17,2.5,417.42,50,0.25
237048,365.0,180.27,45.0675,28.46,12.83,14.23,1282.81,50,0.25
23708423,730.0,1181.5,295.375,15.72,46.44,7.86,4643.65,50,0.25
238418GY,365.0,1239.0,309.75,10.86,33.61,5.43,3362.44,50,0.25
23858236,1.75,749.475,187.3688,0.97,1.8,0.48,179.94,50,0.25
238626,365.0,293.09,73.2725,22.32,16.35,11.16,1635.22,50,0.25
239220,365.0,608.1,152.025,15.49,23.56,7.74,2354.67,50,0.25
23UY67,365.0,318.52,79.63,21.41,17.05,10.7,1704.54,50,0.25
24 755 394-S,365.0,150.99,37.7475,31.1,11.74,15.55,1173.97,50,0.25
2405439,365.0,52.99,13.2475,52.49,6.95,26.24,695.11,50,0.25
2406-20-08,1460.0,10.83,2.7075,232.22,6.29,116.11,628.87,50,0.25
2406-20-12,1460.0,13.88,3.47,205.12,7.12,102.56,711.88,50,0.25
2406-20-16,1460.0,8.76,2.19,258.2,5.65,129.1,565.23,50,0.25
2409302,730.0,33.06,8.265,93.98,7.77,46.99,776.87,50,0.25
24114050,3.07,987.0,246.75,1.12,2.74,0.56,275.18,50,0.25
24121212,1095.0,228.65,57.1625,43.77,25.02,21.88,2501.72,50,0.25
2412334,3650.0,23.79,5.9475,247.73,14.73,123.86,1473.16,50,0.25
241382,365.0,1306.25,326.5625,10.57,34.53,5.28,3450.75,50,0.25
2418T118,365.0,11.13,2.7825,114.53,3.19,57.26,318.83,50,0.25
24233702,730.0,545.7,136.425,23.13,31.56,11.56,3155.07,50,0.25
24236051,730.0,902.0,225.5,17.99,40.58,8.99,4056.24,50,0.25
2423N11,4380.0,20.7,5.175,290.93,15.06,145.46,1505.76,50,0.25
24242125,730.0,181.9,45.475,40.07,18.22,20.04,1822.32,50,0.25
242841,365.0,913.77,228.4425,12.64,28.88,6.32,2887.76,50,0.25
24289,9125.0,0.88,0.22,2036.6,4.48,1018.3,448.03,50,0.25
243008TR,365.0,4625.03,1156.2575,5.62,64.95,2.81,6496.58,50,0.25
243103677171,365.0,1882.99,470.7475,8.81,41.43,4.4,4142.79,50,0.25
24335028,1095.0,114.75,28.6875,61.78,17.72,30.89,1772.16,50,0.25
24362,77.25,0.45055,0.1126,261.93,0.29,130.96,29.25,50,0.25
24366,7300.0,0.7211,0.1803,2012.16,3.63,1006.08,362.9,50,0.25
2440K23,2190.0,10.68,2.67,286.4,7.65,143.2,764.84,50,0.25
2447582,365.0,7203.6,1800.9,4.5,81.11,2.25,8107.52,50,0.25
245065,73.0,311.1,77.775,9.69,7.53,4.84,752.93,50,0.25
245067,1460.0,143.35,35.8375,63.83,22.87,31.92,2287.43,50,0.25
245081,248.86,111.88,27.97,29.83,8.34,14.92,834.31,50,0.25
2452114,730.0,279.99,69.9975,32.29,22.61,16.14,2260.26,50,0.25
2463K5,1825.0,65.41,16.3525,105.64,17.28,52.82,1727.74,50,0.25
2465148,365.0,179.99,44.9975,28.48,12.82,14.24,1281.76,50,0.25
2471N1,5.64,18.76,4.69,10.97,0.51,5.48,51.2,50,0.25
2471N2,99.55,19.2,4.8,45.54,2.19,22.77,218.8,50,0.25
247831025,1.81,346.72,86.68,1.45,1.25,0.72,124.91,50,0.25
24900342,10.63,323.0,80.75,3.63,2.93,1.82,293.47,50,0.25
24900433,17.8,209.95,52.4875,5.82,3.06,2.91,305.74,50,0.25
2491217,54.07,318.6,79.65,8.24,6.56,4.12,656.16,50,0.25
2494T84,730.0,138.6,34.65,45.9,15.9,22.95,1590.22,50,0.25
2495N12,3285.0,20.59,5.1475,252.62,13.0,126.31,1300.18,50,0.25
2495N13,3650.0,28.22,7.055,227.46,16.05,113.73,1604.87,50,0.25
2495N24,5840.0,31.82,7.955,270.95,21.55,135.48,2155.24,50,0.25
24C506,5.16,614.8,153.7,1.83,2.82,0.92,282.4,50,0.25
24JL70,730.0,291.75,72.9375,31.64,23.07,15.82,2307.37,50,0.25
24V625,365.0,98.49,24.6225,38.5,9.48,19.25,947.98,50,0.25
24WB,2.93,19.80333333333333,4.9508,7.69,0.38,3.84,38.01,50,0.25
25-10339D,365.0,869.95,217.4875,12.95,28.19,6.48,2818.82,50,0.25
25-1085,1460.0,107235.0,26808.75,2.33,626.61,1.16,62428.65,50,0.25
25-1657b,730.0,124.95,31.2375,48.34,15.1,24.17,1510.01,50,0.25
25-7080A,365.0,4.95,1.2375,171.74,2.13,85.87,212.76,50,0.25
25-CAT-ITM,365.0,1443.0,360.75,10.06,36.28,5.03,3628.57,50,0.25
2500T664,1460.0,47.7,11.925,110.65,13.19,55.32,1319.19,50,0.25
25040337SF,365.0,34.37,8.5925,65.18,5.6,32.59,560.03,50,0.25
2510KGJ2,730.0,144.0,36.0,45.03,16.21,22.52,1621.22,50,0.25
2510MBG2,365.0,260.99,65.2475,23.65,15.43,11.82,1542.73,50,0.25
25274,18250.0,0.0405,0.0101,13442.21,1.36,6721.1,135.88,50,0.25
253031,365.0,2630.27,657.5675,7.45,48.99,3.72,4895.65,50,0.25
2530502,16.2,68.44,17.11,9.73,1.66,4.86,166.15,50,0.25
2533353,365.0,4115.16,1028.79,5.96,61.24,2.98,6127.79,50,0.25
253983,730.0,24.69,6.1725,108.75,6.71,54.38,671.16,50,0.25
254598B,4.54,292.52,73.13,2.49,1.82,1.25,182.41,50,0.25
254864025,365.0,300.57,75.1425,22.04,16.56,11.02,1656.07,50,0.25
25577,9125.0,0.3816,0.0954,3092.73,2.95,1546.36,295.02,50,0.25
2558XA,365.0,80.09,20.0225,42.7,8.55,21.35,854.98,50,0.25
2558XB,365.0,80.09,20.0225,42.7,8.55,21.35,854.98,50,0.25
256-T0000194,365.0,868.54,217.135,12.97,28.14,6.48,2814.03,50,0.25
25622080,365.0,11.23,2.8075,114.02,3.2,57.01,320.06,50,0.25
25622130,365.0,10.36,2.59,118.71,3.07,59.36,307.24,50,0.25
25627UM010,365.0,18.49,4.6225,88.86,4.11,44.43,410.88,50,0.25
25628UM010,365.0,8.99,2.2475,127.44,2.86,63.72,286.21,50,0.25
25774,171.48,1.952,0.488,187.45,0.91,93.72,91.24,50,0.25
25800UM010,365.0,389.49,97.3725,19.36,18.85,9.68,1885.07,50,0.25
258979,7300.0,12.98,3.245,474.3,15.39,237.15,1539.05,50,0.25
258X16,365.0,174.51,43.6275,28.92,12.62,14.46,1261.85,50,0.25
259490,365.0,17.28,4.32,91.92,3.97,45.96,397.05,50,0.25
2597281,365.0,14.99,3.7475,98.69,3.7,49.34,369.9,50,0.25
259912,365.0,1187.93,296.9825,11.09,32.91,5.54,3290.78,50,0.25
25T6-1/2 120V,1825.0,4.39,1.0975,407.78,4.48,203.89,447.77,50,0.25
25x27 Instapak Quick,365.0,180.51,45.1275,28.44,12.83,14.22,1283.21,50,0.25
260-1738,365.0,121.59,30.3975,34.65,10.53,17.32,1052.98,50,0.25
2600375,37960.0,0.0,0.0,,,,,50,0.25
2600377,695.24,0.0,0.0,,,,,50,0.25
260486,365.0,41.12,10.28,59.59,6.13,29.8,612.84,50,0.25
