PartNum,avg_daily_demand,lead_time_days,demand_during_lead_time,safety_stock,ROP,service_level,lead_time_source
0119920,0.0,30.0,0.0,0.0,0.0,0.95,historical
0120128,0.0,30.0,0.0,0.0,0.0,0.95,historical
0120228,0.0,0.0,0.0,0.0,0.0,0.95,historical
0120233,0.0,0.0,0.0,0.0,0.0,0.95,historical
0120254,0.0,21.0,0.0,0.0,0.0,0.95,historical
0120280,0.0,30.0,0.0,0.0,0.0,0.95,historical
0120375,0.0,5.0,0.0,0.0,0.0,0.95,historical
0120375-CR,0.0,5.0,0.0,0.0,0.0,0.95,historical
0120377,0.0,5.0,0.0,0.0,0.0,0.95,historical
0120377-CR,0.0,30.0,0.0,0.0,0.0,0.95,historical
0120382,0.0,30.0,0.0,0.0,0.0,0.95,historical
0120388,0.0,0.0,0.0,0.0,0.0,0.95,historical
0120390,0.0,30.0,0.0,0.0,0.0,0.95,historical
0120499,0.0,30.0,0.0,0.0,0.0,0.95,historical
012056,0.0,21.0,0.0,0.0,0.0,0.95,historical
0120583,0.0,5.0,0.0,0.0,0.0,0.95,historical
0120704,0.0,33.0,0.0,0.0,0.0,0.95,historical
0120706,0.0,0.0,0.0,0.0,0.0,0.95,historical
0121208,0.0,30.0,0.0,0.0,0.0,0.95,historical
0121758,0.0,30.0,0.0,0.0,0.0,0.95,historical
0121973,0.0,30.0,0.0,0.0,0.0,0.95,historical
0122119,0.0,0.0,0.0,0.0,0.0,0.95,historical
0122126,0.0,5.0,0.0,0.0,0.0,0.95,historical
0122394,0.0,30.0,0.0,0.0,0.0,0.95,historical
0124847,0.0,45.0,0.0,0.0,0.0,0.95,historical
0126032,0.0,5.0,0.0,0.0,0.0,0.95,historical
0126103,0.0,21.0,0.0,0.0,0.0,0.95,historical
0126168,0.0,45.0,0.0,0.0,0.0,0.95,historical
0127796,0.0,5.0,0.0,0.0,0.0,0.95,historical
0127963,0.0,30.0,0.0,0.0,0.0,0.95,historical
0129881,0.0,21.0,0.0,0.0,0.0,0.95,historical
013026RR,0.0,21.0,0.0,0.0,0.0,0.95,historical
013026RT,0.0,21.0,0.0,0.0,0.0,0.95,historical
0130999-CR,0.0,5.0,0.0,0.0,0.0,0.95,historical
0131044-CR,0.0,30.0,0.0,0.0,0.0,0.95,historical
